Date,Accident_Count,Road_conditions_Snow,Road_conditions_Wet,Road_conditions_Dry,Road_conditions_Frost,Road_conditions_Flood,Road_conditions_Missing_Data,Weather_conditions_Unknown,Weather_conditions_Rain,Weather_conditions_Snow,Weather_conditions_Fog,Weather_conditions_Clear,Weather_conditions_Clear_and_windy,Weather_conditions_Other,Weather_conditions_Rain_and_windy,Weather_conditions_Snow_and_windy,Weather_conditions_Missing_data,Road_type_Dual_carriageway,Road_type_Unknown,Road_type_Single_carriageway,Road_type_Roundabout,Road_type_One_way_sreet,Road_type_Slip_road,Light_conditions_Darkness_lights_lit,Light_conditions_Daylight,Light_conditions_Darkness_no_lights
1979-03-18,21,0,6,15,0,0,0,4,2,0,0,14,1,0,0,0,0,3,2,13,3,0,0,3,17,1
1979-03-19,37,0,8,29,0,0,0,4,4,1,0,27,0,1,0,0,0,3,3,26,5,0,0,2,33,2
1979-03-20,40,0,15,25,0,0,0,7,6,1,1,23,0,1,1,0,0,1,6,28,5,0,0,6,34,0
1979-03-21,56,4,29,22,1,0,0,14,6,5,0,27,1,0,0,3,0,3,9,41,3,0,0,4,52,0
1979-03-22,52,3,23,26,0,0,0,10,6,0,0,32,0,1,1,2,0,3,5,40,4,0,0,2,49,1
1979-03-23,70,1,2,64,3,0,0,24,0,0,0,46,0,0,0,0,0,4,13,49,4,0,0,5,64,1
1979-03-24,40,0,5,35,0,0,0,12,2,1,0,24,1,0,0,0,0,1,11,26,2,0,0,3,37,0
1979-03-25,35,0,21,14,0,0,0,6,10,0,0,12,3,0,4,0,0,1,5,29,0,0,0,6,29,0
1979-03-26,54,1,32,20,0,1,0,4,8,3,0,25,4,0,10,0,0,1,5,42,6,0,0,5,49,0
1979-03-27,61,0,33,28,0,0,0,12,15,0,0,26,4,0,4,0,0,3,11,41,6,0,0,9,51,1
1979-03-28,49,0,28,21,0,0,0,9,13,0,0,17,5,1,3,1,0,2,7,36,4,0,0,7,42,0
1979-03-29,46,0,36,10,0,0,0,5,16,1,0,16,0,2,5,1,0,3,9,29,5,0,0,6,39,1
1979-03-30,41,0,6,35,0,0,0,12,3,0,0,26,0,0,0,0,0,3,5,32,1,0,0,4,37,0
1979-03-31,34,0,4,30,0,0,0,8,2,0,0,24,0,0,0,0,0,3,5,25,1,0,0,1,31,2
1979-04-01,19,3,7,4,5,0,0,9,0,0,0,7,2,1,0,0,0,4,5,9,1,0,0,12,7,0
1979-04-02,20,0,6,14,0,0,0,4,0,0,0,16,0,0,0,0,0,1,3,14,2,0,0,5,13,2
1979-04-03,40,0,3,37,0,0,0,5,1,0,0,31,3,0,0,0,0,3,0,37,0,0,0,6,31,3
1979-04-04,51,0,7,43,1,0,0,11,2,1,0,37,0,0,0,0,0,3,5,40,3,0,0,4,46,1
1979-04-05,64,0,5,59,0,0,0,7,3,0,0,53,0,1,0,0,0,5,10,49,0,0,0,3,60,1
1979-04-06,67,0,2,65,0,0,0,16,2,0,0,48,0,0,1,0,0,5,7,53,2,0,0,3,63,1
1979-04-07,95,0,1,94,0,0,0,28,0,0,0,66,1,0,0,0,0,6,19,61,9,0,0,5,89,1
1979-04-08,62,0,1,61,0,0,0,16,0,0,0,46,0,0,0,0,0,6,10,43,3,0,0,0,62,0
1979-04-09,83,0,1,82,0,0,0,24,0,0,0,59,0,0,0,0,0,2,16,59,6,0,0,8,75,0
1979-04-10,66,0,21,45,0,0,0,22,7,0,1,35,0,0,1,0,0,4,8,51,3,0,0,10,56,0
1979-04-11,30,0,17,13,0,0,0,5,13,0,0,11,1,0,0,0,0,2,3,24,1,0,0,8,21,1
1979-04-12,61,0,27,34,0,0,0,18,1,0,0,28,8,2,4,0,0,2,10,40,9,0,0,28,30,3
1979-04-13,42,0,3,39,0,0,0,11,1,0,0,30,0,0,0,0,0,2,8,31,1,0,0,5,37,0
1979-04-14,69,0,0,69,0,0,0,18,0,0,0,51,0,0,0,0,0,6,12,50,1,0,0,6,63,0
1979-04-15,39,0,0,39,0,0,0,6,0,0,0,33,0,0,0,0,0,1,4,33,1,0,0,1,37,1
1979-04-16,45,0,1,44,0,0,0,7,1,0,0,37,0,0,0,0,0,4,2,36,3,0,0,0,44,1
1979-04-17,58,0,1,57,0,0,0,14,1,0,0,41,1,1,0,0,0,3,8,46,1,0,0,2,54,2
1979-04-18,74,0,1,72,0,0,1,25,1,0,0,47,0,1,0,0,0,11,13,48,2,0,0,1,73,0
1979-04-19,56,0,6,50,0,0,0,14,3,0,0,38,0,1,0,0,0,2,10,40,4,0,0,3,52,1
1979-04-20,68,0,3,65,0,0,0,16,0,0,0,49,1,2,0,0,0,6,12,45,5,0,0,8,59,1
1979-04-21,47,0,3,44,0,0,0,12,0,0,0,34,1,0,0,0,0,3,11,31,2,0,0,3,44,0
1979-04-22,34,0,10,24,0,0,0,6,8,0,0,16,1,2,1,0,0,2,4,27,1,0,0,1,32,1
1979-04-23,72,0,33,38,0,0,1,20,23,0,0,25,2,1,1,0,0,7,16,45,4,0,0,3,68,1
1979-04-24,57,0,17,40,0,0,0,19,8,0,0,30,0,0,0,0,0,4,13,36,4,0,0,4,52,1
1979-04-25,63,0,32,31,0,0,0,12,16,0,0,32,2,1,0,0,0,2,8,49,4,0,0,4,59,0
1979-04-26,41,0,6,35,0,0,0,9,2,0,0,29,0,0,1,0,0,2,8,30,1,0,0,0,41,0
1979-04-27,56,0,0,56,0,0,0,12,1,0,0,41,1,1,0,0,0,1,11,42,2,0,0,1,55,0
1979-04-28,54,0,5,49,0,0,0,14,3,0,0,35,2,0,0,0,0,5,13,35,1,0,0,3,50,1
1979-04-29,35,0,9,26,0,0,0,8,6,0,0,20,0,0,1,0,0,4,5,23,3,0,0,2,32,1
1979-04-30,53,0,2,51,0,0,0,14,1,0,0,36,2,0,0,0,0,3,10,36,4,0,0,2,51,0
1979-05-01,28,2,9,11,6,0,0,9,0,0,0,18,1,0,0,0,0,4,5,17,2,0,0,11,17,0
1979-05-02,46,0,7,36,3,0,0,5,2,0,0,39,0,0,0,0,0,2,3,40,1,0,0,10,34,2
1979-05-03,52,0,5,47,0,0,0,9,3,0,0,37,3,0,0,0,0,4,7,39,2,0,0,7,41,4
1979-05-04,60,0,9,51,0,0,0,15,1,1,1,42,0,0,0,0,0,3,13,37,7,0,0,10,50,0
1979-05-05,54,1,6,47,0,0,0,16,0,2,0,36,0,0,0,0,0,4,14,35,1,0,0,2,52,0
1979-05-06,80,0,6,74,0,0,0,18,4,0,0,58,0,0,0,0,0,5,9,65,1,0,0,2,76,2
